text,target
"[141   3   0   1   0   1   0   0   1   0   0   0   0   1   0   0   0   0
   0   0   1   1   0   2   0   1   0   0   0   1   0   0   1   1   0   1
   1   0   0   0   0   0   3   0   0   0   0   0   0   1   0   0   0   0
   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0
   1   0   0   0   0   0   1   0   0   0   2   0   0   0   0   0   1   0
   0   0   0   1   0   0   0   0   0   0   0]",3
"[77  7  0  2  3  0  0  2  1  0  0  0  0  0  1  1  1  0  0  0  0  0  0  1
  0  0  0  0  0  0  0  0  0  1  0  0  0  0  1  0  0  1  0  1  1  0  0  0
  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  1  0  1  0
  0  2  0  0  0  0  2  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  0
  0  0  0  0  0]",3
"[70  1  0  1  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0
  0  1  0  0  0  1  0  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0
  0  0  0  0  0]",1
"[138  25   0   4   0   0   0   6   2   1   0   2   0   0   2   4   2   0
   0   0   0   0   0   0   0   2   0   0   1   1   0   1   1   0   0   0
   1   0   0   0   0   0   0   1   0   1   0   0   0   0   0   0   1   0
   0   2   0   0   0   0   0   0   0   0   1   0   0   2   1   0   0   0
   0   0   1   0   0   0   1   0   0   0   0   1   0   0   0   0   2   0
   0   0   0   0   0   0   0   0   0   0   0]",1
"[158  10   0   1   0   1   0   0   1   3   0   0   0   4   0   3   3   2
   0   2   0   0   0   0   0   0   0   1   2   0   2   0   0   1   0   0
   1   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0
   0   0   0   0   0   1   0   0   0   0   0   0   1   0   1   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   2   0
   0   0   0   0   0   0   0   0   0   0   0]",1
"[69 11  5  0  1  0  2  1  2  1  1  1  0  0  0  0  0  2  0  0  0  0  1  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  2  0  0  0  0  6
  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  2  0  1  0  0  0  1  2  0  0  0  0  0  5  0
  0  0  0  0  0]",0
"[222  13   5   1   8   3   5   4   3   2   4   0   0   0   0   2   2   2
   3   0   3   5   0   0   0   0   0   0   1   1   1   1   1   0   0   1
   1   3   0   2   0   0   0   0   0   1   0   0   1   2   2   0   1   0
   1   1   0   1   0   0   0   0   1   0   0   0   0   0   0   3   0   0
   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   1   1
   0   0   0   0   0   0   0   0   2   1   2]",1
"[88  4  0  0  3  0  5  0  0  2  0  0  1  0  0  0  0  0  1  0  0  0  3  0
  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  1  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  1  1]",1
"[184   9   4   2   0   3   1   0   2   0   2   1   0   0   0   1   0   0
   0   0   0   0   0   0   2   2   0   0   0   0   0   0   0   1   0   0
   1   0   1   0   0   1   0   0   1   1   1   0   0   0   0   0   0   0
   0   1   0   0   0   1   0   0   0   0   0   2   0   0   0   0   0   0
   0   1   1   0   0   0   0   0   0   0   0   0   0   0   1   0   0   1
   0   0   0   1   0   0   0   0   0   0   0]",3
"[249  22   1   0   4   0   1   1   3   5   1   0   0   0   0   0   1   2
   1   1   0   0   0   2   0   0   3   0   1   1   1   4   1   0   0   1
   0   1   0   1   0   0   0   0   0   0   0   0   1   1   0   0   0   1
   0   0   0   2   1   0   0   0   0   0   0   0   0   0   0   0   1   1
   2   0   0   0   0   4   0   0   2   0   0   0   0   0   0   0   0   0
   0   0   0   1   0   0   0   0   0   0   0]",3
"[142  22   6   0   3   0   1   0   1   1   1   0   0   1   0   0   0   0
   2   0   2   0   0   0   0   0   1   0   0   0   0   1   4   1   0   0
   0   0   0   0   0   1   0   0   0   0   0   0   1   2   0   0   0   0
   0   0   1   0   0   0   0   0   0   0   0   0   0   0   3   2   0   0
   0   1   0   1   0   2   0   0   0   0   0   0   1   0   0   0   0   0
   1   0   0   0   0   0   0   0   0   0   0]",5
"[83 18  0  0  7  0  1  0  0  0  3  0  4  0  0  0  2  0  0  0  0  0  1  0
  0  0  0  0  0  0  3  2  0  0  0  0  0  1  0  0  0  0  0  0  1  0  0  0
  1  0  0  2  0  0  0  0  0  0  1  3  0  0  0  0  0  0  3  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0
  0  0  0  0  0]",3
"[89  3  0  0  2  1  2  1  1  0  1  1  0  0  1  0  0  0  0  0  0  0  0  0
  3  2  0  0  0  0  1  0  0  0  0  0  1  0  0  0  0  0  0  0  0  2  1  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0
  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0
  0  0  0  0  0]",3
"[75  9  1  0  1  2  1  1  1  0  0  0  2  0  0  0  3  0  0  1  0  0  0  0
  0  0  0  0  0  1  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0
  1  1  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  1  0  0  1  0
  0  0  0  1  0  0  0  0  2  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0]",1
"[93 19  0  1  0  0  0  0  1  0  0  0  0  0  0  0  0  2  0  0  0  0  0  1
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  1  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0
  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0]",1
"[66  9  0  2  0  3  0  0  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  1
  1  0  0  1  0  1  0  0  0  0  2  0  0  0  1  0  0  0  0  0  1  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  3
  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0]",3
"[114   4   0   0   7   0   4   0   1   1   2   0   0   0   0   0   0   0
   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   1   0   1   1   0   2   0   0   0   0   0   0
   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   2   0   0
   0   0   0   0   0   0   2   0   0   0   0   2   0   0   0   0   1   0
   0   0   0   0   0   0   2   0   0   0   0]",1
"[230   0   0   0   0   3   0   2   0   1   0   0   0   0   0   0   0   1
   4   0   0   1   3   0   0   1   1   1   1   2   0   1   1   0   0   0
   2   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   1   0   1   0   0   0
   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0
   0   0   1   0   0   0   0   0   0   0   1]",5
"[112  13   3   3   2   0   0   1   1   0   1   0   0   0   0   0   0   0
   0   0   0   0   5   0   1   0   0   0   1   1   0   0   0   1   0   0
   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   1   0   0   0   0   1   0   0   1   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0]",1
"[143   3   0   1   4   0   2   8   1   1   2   0   0   0   0   0   1   1
   0   3   3   0   0   0   0   0   0   1   2   1   0   0   0   1   0   0
   0   0   0   0   0   2   0   0   0   0   0   1   0   0   0   1   0   0
   0   0   1   0   0   1   3   0   0   0   0   0   0   0   1   1   0   0
   0   0   0   2   0   0   1   0   0   0   0   0   2   0   0   0   2   0
   0   0   0   0   0   2   8   0   0   0   0]",1
"[88  1  0  0  0  1  2  0  1  0  0  0  0  0  0  0  0  1  0  0  1  0  1  0
  0  0  1  0  0  0  0  1  1  0  1  0  2  0  0  0  1  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  1  0  0  0  0
  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  1  0  0  0  0  0  0
  0  0  0  0  0]",1
"[113  19   0   2   0   2   0   1   1   1   0   0   0   1   3   0   0   0
   0   0   1   0   0   2   0   0   0   0   0   1   0   0   0   1   2   0
   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0
   0   1   1   0   1   0   0   0   0   0   0   0   0   0   0   1   0   0
   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0
   0   0   3   0   0   1   0   0   0   0   0]",3
"[108   4   0   1   0   3   0   0   1   1   0   0   1   0   0   0   0   0
   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   2   0
   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   1   0   0   1   0   0   0   0   0   0   0   0   0   0   0   2
   0   1   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0
   0   0   0   0   0   0   0   0   0   0   0]",3
"[145   6   3   1   0   1   1   4   0   2   0   1   0   1   1   0   0   1
   2   0   1   2   1   0   1   2   0   1   0   0   0   1   2   0   0   1
   0   0   0   0   0   0   0   0   3   0   0   0   0   0   0   0   0   2
   0   0   0   1   0   0   0   0   0   1   0   0   0   0   0   0   0   0
   0   0   1   0   0   0   0   0   0   0   1   0   0   0   2   0   0   0
   0   0   0   0   0   0   0   0   0   1   0]",5
"[70  8  0  3  0  1  0  0  0  1  0  1  0  0  1  0  0  0  0  0  1  0  0  0
  1  0  2  1  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  3  0
  0  0  0  0  0  0  0  0  1  0  0  1  0  0  0  0  0  0  0  0  1  0  0  0
  1  0  0  0  2  0  0  0  0  0  0  0  2  0  2  0  0  0  1  0  0  1  0  0
  0  0  0  0  0]",3
"[143   7   0   0   0   0   1   0   0   0   0   0   0   0   1   0   1   0
   2   0   0   0   0   0   0   1   1   3   0   0   1   0   0   0   0   0
   0   0   0   0   1   0   3   1   0   0   0   0   0   0   1   0   0   0
   0   0   0   0   2   0   2   0   0   0   1   0   0   1   0   0   0   0
   0   0   0   0   2   0   0   1   0   0   0   1   0   0   0   1   0   0
   0   0   0   0   0   0   0   0   0   0   0]",1
"[150   6   0   4   0   2   0   1   0   2   0   1   0   2   3   0   0   0
   0   1   0   0   2   0   0   0   0   0   0   0   2   0   0   0   0   0
   0   0   0   1   0   0   0   0   2   1   0   0   0   0   0   0   0   1
   0   0   0   0   0   0   0   0   5   0   0   0   0   1   0   0   2   0
   0   0   0   0   1   0   1   0   0   0   0   1   0   0   0   1   0   0
   0   0   1   0   0   1   0   0   2   0   0]",1
"[71  8  2  0  0  0  0  0  1  0  0  0  0  1  0  1  0  0  2  0  0  0  0  0
  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0
  0  1  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0
  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  1
  0  1  0  0  0]",1
"[182   6   0   1   1   2   0   0   1   3   1   0   0   1   0   2   1   0
   0   0   0   1   0   1   0   0   1   1   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   1   0   0   1   1   2   0   0   0
   0   0   0   0   1   0   1   0   0   0   0   9   0   0   0   0   0   0
   0   1   0   1   0   0   1   0   1   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   2   0   1   0]",1
"[148   9   2   4   2   2   0   4   2   1   1   4   1   1   3   1   0   0
   0   0   0   0   0   0   0   0   0   0   0   1   0   0   1   3   0   0
   1   0   1   2   0   0   1   0   0   1   0   0   0   0   0   0   2   1
   1   0   1   1   1   0   0   0   0   1   0   0   0   0   0   0   0   0
   0   0   0   1   0   0   0   3   2   1   0   0   0   2   0   0   0   0
   0   0   0   1   0   0   0   0   0   1   0]",1
"[53  2  0  0  1  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0
  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  1  0  0
  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  1  0  0  0  0  0
  0  0  0  0  0]",3
"[138   5   1   0   0   2   2   0   1   0   1   0   1   3   0   1   0   0
   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0
   0   0   0   1   0   0   0   0   1   0   1   0   0   1   0   0   0   0
   0   0   1   0   0   0   0   4   0   0   0   4   1   0   0   0   0   0
   1   0   3   0   0   3   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   1   0]",3
"[69 12  4  0  0  0  0  0  1  0  0  3  0  0  0  0  0  0  0  0  0  0  0  2
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  2  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0
  0  0  0  0  0]",5
"[86  6  0  1  0  0  0  1  0  1  0  0  0  0  0  1  0  1  0  1  0  1  0  0
  0  0  0  0  0  1  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  1  0  0
  0  0  3  0  1  0  1  0  0  1  0  0  1  0  0  0  2  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0
  0  0  0  0  0]",5
"[98  2  0  2  0  1  3  1  1  2  0  0  0  1  0  0  0  2  1  0  0  0  0  0
  0  0  2  0  0  2  0  1  0  0  0  1  0  0  0  1  0  2  0  0  0  0  0  1
  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  1  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0]",1
"[136   5   2   2   0   0   0   1   0   1   4   0   1   0   0   0   0   0
   1   0   0   0   1   0   0   0   0   2   0   0   0   0   0   0   0   0
   0   0   2   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   1   0   0   0   0   0   0   1   2   0   1   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0
   0   0   0   2   0   0   0   0   1   0   0]",1
"[66 10  0  4  0  0  0  2  0  0  0  1  0  0  1  0  0  1  0  0  2  0  0  0
  1  0  0  0  0  0  1  0  1  1  0  0  0  0  0  0  0  0  0  3  0  0  0  0
  0  0  2  0  0  0  1  0  0  0  0  0  0  0  3  0  0  0  1  0  0  0  0  0
  1  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  1  1  0  0]",1
"[165  11   0   2   5   0   1   0   0   1   0   1   0   0   0   0   5   1
   0   0   0   0   1   0   0   0   2   1   2   0   0   1   0   1   0   2
   0   0   0   1   0   0   1   0   0   0   0   1   0   0   1   0   0   0
   0   0   0   1   0   0   1   0   0   0   1   0   0   0   0   3   0   0
   0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   2   0   0   0   0   1]",1
"[68 11  0  0  2  0  1  0  0  0  1  0  0  0  0  3  0  0  0  0  1  0  0  0
  1  0  0  0  0  0  0  0  0  0  1  0  1  0  0  0  4  0  0  1  2  0  0  0
  0  0  0  0  0  0  0  1  0  0  0  0  0  3  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  0  0  0
  0  0  0  0  0]",3
"[186   1   0   0   2   2   0   0   2   1   2   0   0   2   0   0   2   1
   0   0   0   0   0   0   3   3   0   0   0   0   1   0   0   0   0   3
   1   0   0   0   0   1   2   0   0   0   0   0   0   1   1   1   0   0
   0   0   0   1   0   0   1   0   0   1   0   0   0   0   1   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0]",3
"[43  1  1  0  0  0  1  0  0  0  0  1  0  0  0  0  0  0  0  1  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0]",3
"[78  5  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  3  0  0  0
  1  1  0  0  0  0  1  0  0  0  3  0  0  0  1  1  0  2  0  0  2  0  0  0
  0  0  0  0  0  0  0  0  1  0  0  2  1  0  0  1  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  1  0  0  0  0  0  1  0  0  0  0  0  0  0  1  0  0  0
  4  0  0  0  0]",3
"[77  1  0  1  0  1  1  1  0  1  0  0  0  0  0  0  0  1  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  2  0  1  0  1  0  0  0  0  1  0  0
  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  3  0  0  0
  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0]",1
"[76 11  0  2  2  0  0  0  0  0  2  0  0  2  0  0  0  0  0  1  0  0  0  0
  1  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  2  1  1  0  0  0  0  0
  1  0  0  1  0  0  0  0  0  0  1  0  0  0  0  1  0  0  0  0  0  0  0  0
  1  0  0  0  0  0  4  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0]",3
"[76  4  2  2  0  1  0  0  0  0  0  0  0  0  1  0  0  0  0  2  1  0  1  2
  0  0  0  0  0  0  0  0  0  0  2  0  0  0  1  0  0  2  0  0  0  0  0  0
  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  2  0  1  0  0  0  0  0  0
  0  0  0  1  0  0  0  0  0  1  0  0  2  0  0  0  0  1  0  0  1  0  0  0
  1  0  0  0  0]",3
"[113   1   1   0   1   0   1   0   1   0   0   0   1   0   0   0   1   0
   0   0   1   0   1   0   0   0   1   0   0   0   0   1   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   2
   0   0   0   0   0   0   0   0   1   0   3   0   0   0   1   0   0   0
   0   0   0   0   1   0   0   0   0   0   0   1   0   0   0   1   0   0
   0   0   0   0   2   0   0   0   0   0   0]",1
"[165  14   3   0   4   0   3   0   4   1   0   1   0   0   0   0   1   0
   0   0   1   0   0   0   0   0   1   0   0   2   0   0   1   0   0   0
   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   1   1   0
   0   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   1   0]",5
"[206   3   4   0   6   2   3   1   1   1   2   0   0   0   0   0   0   0
   0   0   0   0   0   2   0   0   0   0   1   0   0   1   0   0   0   0
   1   0   0   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0
   2   0   0   0   0   0   0   0   0   0   2   0   0   0   1   1   0   0
   0   0   0   0   1   1   0   0   0   0   0   3   0   0   0   0   0   0
   2   0   0   0   0   0   0   0   0   1   1]",5
"[79  9  0  0  2  0  0  0  0  0  2  0  0  0  1  0  0  0  0  0  0  0  0  0
  2  0  0  0  0  1  0  0  0  0  0  0  0  0  1  1  0  0  0  0  0  0  0  1
  0  0  0  0  0  0  0  0  0  1  0  0  0  2  0  0  0  0  0  0  0  0  0  0
  0  1  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1
  0  0  0  0  0]",3
"[57  2  0  0  2  0  0  0  0  0  2  0  1  0  0  0  0  0  0  1  1  0  0  0
  1  0  0  1  0  0  0  0  1  0  0  0  0  1  2  1  0  1  1  0  0  0  0  0
  0  1  0  1  0  0  0  0  0  1  1  0  0  2  0  0  0  0  1  0  0  0  0  0
  2  0  0  0  0  0  0  0  0  0  0  1  1  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  1  0]",3
"[164  11   0   0   0   1   1   0   1   2   1   0   0   1   0   0   0   1
   0   1   0   0   0   0   0   0   0   0   1   1   0   1   1   0   0   2
   0   0   0   0   0   0   0   0   0   0   0   7   1   1   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0
   0   0   0   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0
   0   0   0   0   0   0   0   0   0   0   0]",1
"[80 21  2  0  0  0  0  0  1  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0
  0  1  1  0  1  0  0  0  0  0  1  0  0  3  0  0  0  0  0  0  0  0  0  1
  0  0  0  0  0  0  0  1  0  0  3  1  0  0  0  0  1  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0]",1
"[204   7   3   2   0   1   0   0   0   4   0   0   2   1   0   0   1   0
   1   1   0   4   0   0   0   0   1   1   2   0   0   0   0   0   0   0
   1   0   0   0   1   1   0   0   0   0   0   1   0   0   0   0   0   0
   2   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   1   1   0   1   0   0   1   0   5   0   0
   0   0   0   0   0   1   0   0   0   0   0]",1
"[255   8   3   5   2   6   2   0   1   1   0   0   1   4   8   0   3   0
   1   0   0   3   2   4   0   2   0   1   0   1   1   0   0   0   0   0
   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0
   1   0   0   2   0   1   0   0   1   0   1   8   0   0   1   0   0   0
   0   2   1   0   0   0   0   0   0   1   1   0   0   2   0   0   0   0
   0   0   0   0   0   1   0   0   1   0   1]",1
"[119   3   3   2   0   1   2   1   3   0   0   0   0   3   0   0   0   1
   0   3   0   0   3   0   1   0   0   0   1   1   2   0   0   0   1   1
   1   0   1   0   0   1   1   0   2   1   0   0   0   0   0   1   0   0
   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   1   0   0   0   0   1   0   0   0   0   0   0   2   0   0   0   0   0
   0   0   0   0   0   1   0   1   0   0   0]",1
